denomination,pays,ville,codePostal,addresse,identifiantNational,datePremierePublication,secteurs,niveaux
RUMEUR PUBLIQUE,FRANCE,PARIS,75017,FRANCE 75017 PARIS,524866241,05/09/2017,"Energie | Environnement | Logement, aménagement du territoire, urbanisme | Numérique | Transports, logistique",Local | National
COVESTRO (FRANCE) SNC,FRANCE,FOS SUR MER,13270,FRANCE 13270 FOS SUR MER,429659824,21/08/2017,"Commerce extérieur | Concurrence, consommation | Economie | Recherche, innovation",National | Européen
PRIMUM NON NOCERE,FRANCE,BEZIERS,34500,FRANCE 34500 BEZIERS,514604453,24/08/2017,"Agriculture, alimentation, pêche | Energie | Fiscalité, finances publiques | Environnement | Santé, sécurité sociale",Local | National
MUTUALITE FRANCAISE DE GUADELOUPE,FRANCE,POINTE A PITRE,97110,FRANCE 97110 POINTE A PITRE,507928927,08/08/2017,"Banques, assurances, secteur financier | Travail, emploi, solidarité | Outre-mer | Santé, sécurité sociale",Local | National
SYNDICAT NATIONAL PUBLICITE TELEVISEE,FRANCE,BOULOGNE BILLANCOURT,92100,FRANCE 92100 BOULOGNE BILLANCOURT,421240508,31/08/2017,"Médias, industries culturelles | Numérique",Local | National | Européen
MUTUALITE FRANCAISE POITOU CHARENTES,FRANCE,POITIERS,86000,FRANCE 86000 POITIERS,444529366,08/08/2017,"Banques, assurances, secteur financier | Travail, emploi, solidarité | Santé, sécurité sociale",Local | National
SYND FEDERATION  FRANCAISE DU BATIMENT GRAND PARIS,FRANCE,PARIS CEDEX 17,75852,FRANCE 75852 PARIS CEDEX 17,784718033,05/09/2017,"Economie | Travail, emploi, solidarité | Energie | Environnement | Logement, aménagement du territoire, urbanisme",Local | National
RENAISSANCE NUMERIQUE,FRANCE,PARIS,75011,FRANCE 75011 PARIS,501629232,21/08/2017,"Recherche, innovation | Numérique | Questions de société",Local | National | Européen
FED IDUST ELECTR ELECTRONIQUES  COMMUNIC,FRANCE,PARIS,75116,FRANCE 75116 PARIS,775688443,29/08/2017,"Concurrence, consommation | Energie | Environnement | Numérique | Communications électroniques",National | Européen | Mondial
FEDERATION BANCAIRE FRANCAISE,FRANCE,PARIS CEDEX 09,75440,FRANCE 75440 PARIS CEDEX 09,434987582,05/09/2017,"Banques, assurances, secteur financier | Economie | Fiscalité, finances publiques | Numérique",National | Européen | Mondial
CONSEIL NATIONAL DE L ORDRE DES PHARMACIENS,FRANCE,PARIS,75008,FRANCE 75008 PARIS,784359549,16/08/2017,"Concurrence, consommation | Numérique | Outre-mer | Professions réglementées | Santé, sécurité sociale",National | Européen
SYNTEC INGENIERIE,FRANCE,PARIS,75008,FRANCE 75008 PARIS,384718839,31/08/2017,"Energie | Logement, aménagement du territoire, urbanisme | Environnement | Transports, logistique | Economie",Local | National | Européen
PFIZER,FRANCE,PARIS CEDEX 14,75668,FRANCE 75668 PARIS CEDEX 14,433623550,08/09/2017,"Recherche, innovation | Santé, sécurité sociale",National
MUTUALITE FRANCAISE NORMANDIE,FRANCE,CAEN,14000,FRANCE 14000 CAEN,444628275,11/09/2017,"Banques, assurances, secteur financier | Travail, emploi, solidarité | Santé, sécurité sociale",Local | National
PIERRE FABRE MEDICAMENT,FRANCE,BOULOGNE BILLANCOURT,92100,FRANCE 92100 BOULOGNE BILLANCOURT,326118502,05/09/2017,"Concurrence, consommation | Recherche, innovation | Santé, sécurité sociale",National | Européen | Mondial
KOZ,FRANCE,PARIS,75010,FRANCE 75010 PARIS,824971154,10/08/2017,"Arts, patrimoine culturel | Energie | Fiscalité, finances publiques | Environnement | Santé, sécurité sociale",Local | National | Européen
MUTUALITE FRANCAISE AQUITAINE,FRANCE,BORDEAUX,33000,FRANCE 33000 BORDEAUX,442250304,31/08/2017,"Banques, assurances, secteur financier | Travail, emploi, solidarité | Santé, sécurité sociale",Local | National
UNION NATIONALE POUR LA PROMOTION ET LE DEVELOPPPEMENT DE LA LOCATION DE VACANCES,FRANCE,PARIS,75010,FRANCE 75010 PARIS,W751216334,01/09/2017,"Sports, loisirs, tourisme",Local | National | Européen
FEDE FRANCAISE INDUS JOUET PUERICULTURE,FRANCE,PARIS,75008,FRANCE 75008 PARIS,784717407,17/08/2017,"Concurrence, consommation | Travail, emploi, solidarité | Fiscalité, finances publiques | Sports, loisirs, tourisme",National | Européen | Mondial
UNION MUT FRANCAISE PAYS DE LA LOIRE,FRANCE,NANTES CEDEX 2,44273,FRANCE 44273 NANTES CEDEX 2,352137848,08/08/2017,"Banques, assurances, secteur financier | Travail, emploi, solidarité | Santé, sécurité sociale",Local | National
COMPAGNIE EUROPEENNE D'INTELLIGENCE STRATEGIQUE (CEIS),FRANCE,PARIS,75015,FRANCE 75015 PARIS,414881821,18/08/2017,"Défense, sécurité | Energie | Numérique | Transports, logistique | Economie",Local | National | Européen | Mondial
ASS PROFESSIONNELLE BANQUES,FRANCE,PARIS,75009,FRANCE 75009 PARIS,775675887,05/09/2017,"Banques, assurances, secteur financier | Economie | Travail, emploi, solidarité | Fiscalité, finances publiques | Numérique",National | Européen | Mondial
HOMEAWAY FRANCE,FRANCE,PARIS CEDEX 10,75468,FRANCE 75468 PARIS CEDEX 10,493457741,01/09/2017,Numérique,Local | National | Européen
GUERBET,FRANCE,VILLEPINTE,93420,FRANCE 93420 VILLEPINTE,308491521,01/09/2017,"Commerce extérieur | Recherche, innovation | Santé, sécurité sociale",National | Européen | Mondial
CHAMBRE SYND REPARTITION PHARMACEUTIQUE,FRANCE,PARIS,75008,FRANCE 75008 PARIS,333593556,30/08/2017,"Santé, sécurité sociale | Transports, logistique",National
AUCHAN RETAIL FRANCE,France,CROIX,59170,France 59170 CROIX,481986446,01/09/2017,"Agriculture, alimentation, pêche | Concurrence, consommation | Travail, emploi, solidarité | Fiscalité, finances publiques | Environnement",Local | National | Européen
MUTUELLE GENERALE EDUCATION NATIONALE,FRANCE,PARIS CEDEX 15,75748,FRANCE 75748 PARIS CEDEX 15,775685399,05/09/2017,"Banques, assurances, secteur financier | Concurrence, consommation | Pouvoirs publics, institutions, fonction publique | Santé, sécurité sociale",National | Européen
UNITIS  EUROPEAN ORGANIZATION OF COSMETIC INGREDIENTS INDUSTRIES AND SERVICES,FRANCE,PARIS,75008,FRANCE 75008 PARIS,752328328,28/08/2017,"Environnement | Santé, sécurité sociale",Européen
SOCIETE GENERALE,FRANCE,PARIS,75009,FRANCE 75009 PARIS,552120222,31/08/2017,"Banques, assurances, secteur financier",Mondial
UNION REGIONALE MUTUALITE FRANCAISE HAUT DE FRANCE NORD PAS DE CALAIS PICARDIE,FRANCE,LILLE,59800,FRANCE 59800 LILLE,443811211,12/09/2017,"Banques, assurances, secteur financier | Travail, emploi, solidarité | Santé, sécurité sociale",Local | National
INSTITUT DE LA PROTECTION SOCIALE,FRANCE,LYON,69003,FRANCE 69003 LYON,539540492,04/09/2017,"Travail, emploi, solidarité | Fiscalité, finances publiques | Santé, sécurité sociale",National
MUTUALITE FRANCAISE ILE DE FRANCE,FRANCE,PARIS,75009,FRANCE 75009 PARIS,518102975,11/09/2017,"Banques, assurances, secteur financier | Travail, emploi, solidarité | Santé, sécurité sociale",Local | National
UNION REG MUTUALITE FRANCAISE REG CENTRE,FRANCE,BLOIS,41000,FRANCE 41000 BLOIS,333645034,08/08/2017,"Banques, assurances, secteur financier | Travail, emploi, solidarité | Santé, sécurité sociale",Local | National
FEDERATION FRANCAISE BATIMENT AUVERGNE RHONE ALPES,FRANCE,VILLEURBANNE,69100,FRANCE 69100 VILLEURBANNE,779786987,04/09/2017,"Economie | Education, enseignement supérieur, formation | Environnement | Logement, aménagement du territoire, urbanisme",Local
KERING,FRANCE,PARIS CEDEX 07,75345,FRANCE 75345 PARIS CEDEX 07,552075020,22/08/2017,"Travail, emploi, solidarité | Santé, sécurité sociale | Gouvernance d’entreprise | Environnement | Propriété intellectuelle",Mondial | Européen | National | Local
CCI FRANCE,FRANCE,PARIS CEDEX 17,75858,FRANCE 75858 PARIS CEDEX 17,187500020,04/08/2017,"Commerce extérieur | Economie | Education, enseignement supérieur, formation | Logement, aménagement du territoire, urbanisme | Numérique",National | Européen | Mondial
SEANCE PUBLIQUE,FRANCE,PARIS,75007,FRANCE 75007 PARIS,438568610,17/08/2017,"Agriculture, alimentation, pêche | Travail, emploi, solidarité | Energie | Environnement | Santé, sécurité sociale",Local | National
UPSA SAS,FRANCE,RUEIL MALMAISON,92500,FRANCE 92500 RUEIL MALMAISON,803247956,06/09/2017,"Recherche, innovation | Santé, sécurité sociale",Local | National
LABORATOIRES ALCON,FRANCE,RUEIL MALMAISON CEDEX,92563,FRANCE 92563 RUEIL MALMAISON CEDEX,652009044,04/09/2017,"Recherche, innovation | Santé, sécurité sociale",National
ASS EUROPEEN VEHICULE ELECTRIQ ROUTIERS,FRANCE,PARIS,75011,FRANCE 75011 PARIS,381166792,05/09/2017,"Energie | Transports, logistique | Environnement",Local | National
FEDERATION NATIONALE MUTUALITE FRANCAISE,FRANCE,PARIS CEDEX 15,75719,FRANCE 75719 PARIS CEDEX 15,304426240,08/08/2017,"Banques, assurances, secteur financier | Travail, emploi, solidarité | Santé, sécurité sociale",Local | National | Européen
UNION REGIONALE MUT FRANCAISE LIMOUSIN,FRANCE,LIMOGES,87000,FRANCE 87000 LIMOGES,444087704,08/08/2017,"Banques, assurances, secteur financier | Travail, emploi, solidarité | Santé, sécurité sociale",Local | National
